pincode,coordinates
600325,"{'latitude': 1.34707, 'longitude': 103.73029}"
600326,"{'latitude': 1.34707, 'longitude': 103.73029}"
600327,"{'latitude': 1.34707, 'longitude': 103.73029}"
600328,"{'latitude': 1.34707, 'longitude': 103.73029}"
600329,"{'latitude': 1.34417, 'longitude': 103.73464}"
600330,"{'latitude': 1.34417, 'longitude': 103.73464}"
600331,"{'latitude': 1.34417, 'longitude': 103.73464}"
600332,"{'latitude': 1.34417, 'longitude': 103.73464}"
600333,"{'latitude': 1.34417, 'longitude': 103.73464}"
600334,"{'latitude': 1.34417, 'longitude': 103.73464}"
600335,"{'latitude': 1.34417, 'longitude': 103.73464}"
600336,"{'latitude': 1.34417, 'longitude': 103.73464}"
600337,"{'latitude': 1.34417, 'longitude': 103.73464}"
600338,"{'latitude': 1.34417, 'longitude': 103.73464}"
600339,"{'latitude': 1.34417, 'longitude': 103.73464}"
600340,"{'latitude': 1.34417, 'longitude': 103.73464}"
600341,"{'latitude': 1.34417, 'longitude': 103.73464}"
600342,"{'latitude': 1.34707, 'longitude': 103.73029}"
600343,"{'latitude': 1.34707, 'longitude': 103.73029}"
600344,"{'latitude': 1.34707, 'longitude': 103.73029}"
600345,"{'latitude': 1.34707, 'longitude': 103.73029}"
600346,"{'latitude': 1.34707, 'longitude': 103.73029}"
600347,"{'latitude': 1.34417, 'longitude': 103.73464}"
600348,"{'latitude': 1.34417, 'longitude': 103.73464}"
600349,"{'latitude': 1.34417, 'longitude': 103.73464}"
600350,"{'latitude': 1.34417, 'longitude': 103.73464}"
600351,"{'latitude': 1.34707, 'longitude': 103.73029}"
600352,"{'latitude': 1.34707, 'longitude': 103.73029}"
600353,"{'latitude': 1.34707, 'longitude': 103.73029}"
600354,"{'latitude': 1.34417, 'longitude': 103.73464}"
600355,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600356,"{'latitude': 45.53518, 'longitude': 25.41214}"
600357,"{'latitude': 25.98067, 'longitude': 79.46254}"
600358,"{'latitude': 25.98067, 'longitude': 79.46254}"
600359,"{'latitude': 25.98067, 'longitude': 79.46254}"
600360,"{'latitude': 25.98067, 'longitude': 79.46254}"
600361,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600362,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600363,"{'latitude': 45.53518, 'longitude': 25.41214}"
600364,"{'latitude': 25.98067, 'longitude': 79.46254}"
600365,"{'latitude': 25.98067, 'longitude': 79.46254}"
600366,"{'latitude': 25.98067, 'longitude': 79.46254}"
600367,"{'latitude': 25.98067, 'longitude': 79.46254}"
600368,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600369,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600370,"{'latitude': 45.53518, 'longitude': 25.41214}"
600371,"{'latitude': 1.34684, 'longitude': 103.73389}"
600372,"{'latitude': 1.34684, 'longitude': 103.73389}"
600373,"{'latitude': 1.34684, 'longitude': 103.73389}"
600374,"{'latitude': 1.34684, 'longitude': 103.73389}"
600375,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600376,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600377,"{'latitude': 25.98067, 'longitude': 79.46254}"
600378,"{'latitude': 25.98067, 'longitude': 79.46254}"
600379,"{'latitude': 25.98067, 'longitude': 79.46254}"
600380,"{'latitude': 45.53518, 'longitude': 25.41214}"
600381,"{'latitude': 25.98067, 'longitude': 79.46254}"
600382,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600383,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600384,"{'latitude': 45.53518, 'longitude': 25.41214}"
600385,"{'latitude': 25.98067, 'longitude': 79.46254}"
600386,"{'latitude': 25.98067, 'longitude': 79.46254}"
600387,"{'latitude': 25.98067, 'longitude': 79.46254}"
600388,"{'latitude': 25.98067, 'longitude': 79.46254}"
600389,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600390,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600391,"{'latitude': 25.98067, 'longitude': 79.46254}"
600392,"{'latitude': 25.98067, 'longitude': 79.46254}"
600393,"{'latitude': 25.98067, 'longitude': 79.46254}"
600394,"{'latitude': 45.53518, 'longitude': 25.41214}"
600395,"{'latitude': 45.53518, 'longitude': 25.41214}"
600396,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600397,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600398,"{'latitude': 25.98067, 'longitude': 79.46254}"
600399,"{'latitude': 25.98067, 'longitude': 79.46254}"
600400,"{'latitude': 45.53518, 'longitude': 25.41214}"
600401,"{'latitude': 1.31998, 'longitude': 103.7481}"
600402,"{'latitude': 1.31998, 'longitude': 103.7481}"
600403,"{'latitude': 1.31998, 'longitude': 103.7481}"
600404,"{'latitude': 1.31998, 'longitude': 103.7481}"
600405,"{'latitude': 1.31998, 'longitude': 103.7481}"
600406,"{'latitude': 1.31998, 'longitude': 103.7481}"
600407,"{'latitude': 1.31998, 'longitude': 103.7481}"
600408,"{'latitude': 1.31998, 'longitude': 103.7481}"
600409,"{'latitude': 1.31998, 'longitude': 103.7481}"
600410,"{'latitude': 1.31998, 'longitude': 103.7481}"
600411,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600412,"{'latitude': 1.31998, 'longitude': 103.7481}"
600413,"{'latitude': 1.31998, 'longitude': 103.7481}"
600414,"{'latitude': 1.31998, 'longitude': 103.7481}"
600415,"{'latitude': 1.31998, 'longitude': 103.7481}"
600416,"{'latitude': 1.31998, 'longitude': 103.7481}"
600417,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600418,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600419,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600420,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600421,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600422,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600423,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600424,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600425,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600426,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600427,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600428,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
